微笑	微笑 [微笑] ![[微笑.png|20]]
撇嘴	撇嘴 [撇嘴] ![[撇嘴.png|20]]
色	色 [色] ![[色.png|20]]
发呆	发呆 [发呆] ![[发呆.png|20]]
得意	得意 [得意] ![[得意.png|20]]
流泪	流泪 [流泪] ![[流泪.png|20]]
害羞	害羞 [害羞] ![[害羞.png|20]]
闭嘴	闭嘴 [闭嘴] ![[闭嘴.png|20]]
睡	睡 [睡] ![[睡.png|20]]
大哭	大哭 [大哭] ![[大哭.png|20]]
尴尬	尴尬 [尴尬] ![[尴尬.png|20]]
发怒	发怒 [发怒] ![[发怒.png|20]]
调皮	调皮 [调皮] ![[调皮.png|20]]
呲牙	呲牙 [呲牙] ![[呲牙.png|20]]
惊讶	惊讶 [惊讶] ![[惊讶.png|20]]
难过	难过 [难过] ![[难过.png|20]]
囧	囧 [囧] ![[囧.png|20]]
抓狂	抓狂 [抓狂] ![[抓狂.png|20]]
吐	吐 [吐] ![[吐.png|20]]
偷笑	偷笑 [偷笑] ![[偷笑.png|20]]
愉快	愉快 [愉快] ![[愉快.png|20]]
白眼	白眼 [白眼] ![[白眼.png|20]]
傲慢	傲慢 [傲慢] ![[傲慢.png|20]]
困	困 [困] ![[困.png|20]]
惊恐	惊恐 [惊恐] ![[惊恐.png|20]]
憨笑	憨笑 [憨笑] ![[憨笑.png|20]]
笑	笑 [憨笑] ![[憨笑.png|20]] [捂脸] ![[捂脸.png|20]]
悠闲	悠闲 [悠闲] ![[悠闲.png|20]]
咒骂	咒骂 [咒骂] ![[咒骂.png|20]]
疑问	疑问 [疑问] ![[疑问.png|20]]
问	问 [疑问] ![[疑问.png|20]]
嘘	嘘 [嘘] ![[嘘.png|20]]
晕	晕 [晕] ![[晕.png|20]]
衰	衰 [衰] ![[衰.png|20]]
骷髅	骷髅 [骷髅] ![[骷髅.png|20]]
敲打	敲打 [敲打] ![[敲打.png|20]]
再见	再见 [再见] ![[再见.png|20]]
擦汗	擦汗 [擦汗] ![[擦汗.png|20]]
抠鼻	抠鼻 [抠鼻] ![[抠鼻.png|20]]
鼓掌	鼓掌 [鼓掌] ![[鼓掌.png|20]]
坏笑	坏笑 [坏笑] ![[坏笑.png|20]]
右哼哼	右哼哼 [右哼哼] ![[右哼哼.png|20]]
鄙视	鄙视 [鄙视] ![[鄙视.png|20]]
委屈	委屈 [委屈] ![[委屈.png|20]]
快哭了	快哭了 [快哭了] ![[快哭了.png|20]]
阴险	阴险 [阴险] ![[阴险.png|20]]
亲亲	亲亲 [亲亲] ![[亲亲.png|20]]
可怜	可怜 [可怜] ![[可怜.png|20]]
笑脸	笑脸 [笑脸] ![[笑脸.png|20]]
生病	生病 [生病] ![[生病.png|20]]
脸红	脸红 [脸红] ![[脸红.png|20]]
破涕为笑	破涕为笑 [破涕为笑] ![[破涕为笑.png|20]]
笑哭	笑哭 [破涕为笑] ![[破涕为笑.png|20]]
恐惧	恐惧 [恐惧] ![[恐惧.png|20]]
失望	失望 [失望] ![[失望.png|20]]
无语	无语 [无语] ![[无语.png|20]] [Emm] ![[Emm.png|20]]
嘿哈	嘿哈 [嘿哈] ![[嘿哈.png|20]]
捂脸	捂脸 🤦‍♂️ 🤦‍♀️ [捂脸] ![[捂脸.png|20]]
无奈	无奈 [捂脸] ![[捂脸.png|20]]
奸笑	奸笑 [奸笑] ![[奸笑.png|20]]
机智	机智 [机智] ![[机智.png|20]]
皱眉	皱眉 [皱眉] ![[皱眉.png|20]]
耶	耶 [耶] ![[耶.png|20]]
吃瓜	吃瓜 [吃瓜] ![[吃瓜.png|20]]
加油	加油 [加油] ![[加油.png|20]]
汗	汗 [汗] ![[汗.png|20]]
天啊	天啊 [天啊] ![[天啊.png|20]]
社会社会	社会社会 [社会社会] ![[社会社会.png|20]]
旺柴	旺柴 [旺柴] ![[旺柴.png|20]]
狗头	狗头 [旺柴] ![[旺柴.png|20]]
好的	好的 [好的] ![[好的.png|20]] [OK] ![[OK.png|20]]
打脸	打脸 [打脸] ![[打脸.png|20]]
哇	哇 [哇] ![[哇.png|20]]
翻白眼	翻白眼 [翻白眼] ![[翻白眼.png|20]]
溜	溜 [666] ![[666.png|20]]
让我看看	让我看看 [让我看看] ![[让我看看.png|20]]
叹气	叹气 [叹气] ![[叹气.png|20]]
苦涩	苦涩 [苦涩] ![[苦涩.png|20]]
裂开	裂开 [裂开] ![[裂开.png|20]]
嘴唇	嘴唇 [嘴唇] ![[嘴唇.png|20]]
爱心	爱心 [爱心] ![[爱心.png|20]]
心碎	心碎 [心碎] ![[心碎.png|20]]
拥抱	拥抱 [拥抱] ![[拥抱.png|20]]
强	强 [强] ![[强.png|20]]
弱	弱 [弱] ![[弱.png|20]]
握手	握手 [握手] ![[握手.png|20]]
胜利	胜利 [胜利] ![[胜利.png|20]]
抱拳	抱拳 [抱拳] ![[抱拳.png|20]]
勾引	勾引 [勾引] ![[勾引.png|20]]
拳头	拳头 [拳头] ![[拳头.png|20]]
合十	合十 [合十] ![[合十.png|20]]
啤酒	啤酒 [啤酒] ![[啤酒.png|20]]
咖啡	咖啡 [咖啡] ![[咖啡.png|20]]
